stateCode,stateName,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
2,Himachal Pradesh,248046,Chamba,Municipality,16.0,Chamba,FULL MATCH
2,Himachal Pradesh,276627,Chowari,Town Panchayat,16.0,Chamba,FULL MATCH
2,Himachal Pradesh,248227,Tira Sujanpur,Municipality,17.0,Hamirpur,FULL MATCH
2,Himachal Pradesh,248228,Nadaun,Town Panchayat,17.0,Hamirpur,FULL MATCH
2,Himachal Pradesh,248229,Hamirpur,Municipality,17.0,Hamirpur,FULL MATCH
2,Himachal Pradesh,248230,Bhota,Town Panchayat,17.0,Hamirpur,FULL MATCH
2,Himachal Pradesh,248210,Nurpur,Municipality,18.0,Kangra,FULL MATCH
2,Himachal Pradesh,248211,Dharamshala,Municipal Corporations,18.0,Kangra,FULL MATCH
2,Himachal Pradesh,248213,Kangra,Municipality,18.0,Kangra,FULL MATCH
2,Himachal Pradesh,248214,Nagrota Bagwan,Municipality,18.0,Kangra,FULL MATCH
2,Himachal Pradesh,248216,Jawalamukhi,Municipality,18.0,Kangra,FULL MATCH
2,Himachal Pradesh,248217,Palampur,Municipal Corporations,18.0,Kangra,FULL MATCH
2,Himachal Pradesh,274797,Baijnath-Paprola,Town Panchayat,18.0,Kangra,FULL MATCH
2,Himachal Pradesh,275535,Jawali,Town Panchayat,18.0,Kangra,FULL MATCH
2,Himachal Pradesh,276626,Dehra,Municipality,18.0,Kangra,FULL MATCH
2,Himachal Pradesh,297015,Shahpur,Town Panchayat,18.0,Kangra,FULL MATCH
2,Himachal Pradesh,248218,Manali,Municipality,20.0,Kullu,FULL MATCH
2,Himachal Pradesh,248219,Kullu,Municipality,20.0,Kullu,FULL MATCH
2,Himachal Pradesh,248220,Bhuntar,Town Panchayat,20.0,Kullu,FULL MATCH
2,Himachal Pradesh,248221,Banjar,Town Panchayat,20.0,Kullu,FULL MATCH
2,Himachal Pradesh,248225,Mandi,Municipal Corporations,20.0,Kullu,FULL MATCH
2,Himachal Pradesh,248245,Rampur,Municipality,20.0,Kullu,FULL MATCH
2,Himachal Pradesh,297011,Nirmand,Town Panchayat,20.0,Kullu,FULL MATCH
2,Himachal Pradesh,297012,Anni,Town Panchayat,20.0,Kullu,FULL MATCH
2,Himachal Pradesh,248220,Bhuntar,Town Panchayat,22.0,Mandi,FULL MATCH
2,Himachal Pradesh,248221,Banjar,Town Panchayat,22.0,Mandi,FULL MATCH
2,Himachal Pradesh,248222,Jogindarnagar,Municipality,22.0,Mandi,FULL MATCH
2,Himachal Pradesh,248223,Sarkaghat,Municipality,22.0,Mandi,FULL MATCH
2,Himachal Pradesh,248224,Sundernagar,Municipality,22.0,Mandi,FULL MATCH
2,Himachal Pradesh,248225,Mandi,Municipal Corporations,22.0,Mandi,FULL MATCH
2,Himachal Pradesh,248226,Rawalsar,Town Panchayat,22.0,Mandi,FULL MATCH
2,Himachal Pradesh,274794,Nerchowk,Municipality,22.0,Mandi,FULL MATCH
2,Himachal Pradesh,276625,Karsog,Town Panchayat,22.0,Mandi,FULL MATCH
2,Himachal Pradesh,248245,Rampur,Municipality,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,248246,Narkanda,Town Panchayat,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,248247,Suni,Town Panchayat,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,248248,Shimla,Municipal Corporations,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,248249,Theog,Municipality,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,248250,Chopal,Town Panchayat,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,248251,Jubbal,Town Panchayat,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,248252,Kotkhai,Town Panchayat,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,248253,Rohru,Municipality,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,297013,Chirgaon,Town Panchayat,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,297014,Nerwa,Town Panchayat,23.0,Shimla,FULL MATCH
2,Himachal Pradesh,248043,Nahan,Municipality,24.0,Sirmaur,FULL MATCH
2,Himachal Pradesh,248045,Paonta Sahib,Municipality,24.0,Sirmaur,FULL MATCH
2,Himachal Pradesh,248047,Rajgarh,Town Panchayat,24.0,Sirmaur,FULL MATCH
