stateCode,stateName,localBodyCode,localBodyName,localBodyType,total_pincodes,matching_pincodes,predicted_districtCode,predicted_districtName,overlap_%,confidence_level,validation_flag,strategy_used,2nd_best_districtCode,2nd_best_districtName,gap_to_2nd_%,top3_candidates
20,Jharkhand,250433,Mango,Municipal Corporations,1,1,327,East Singhbum,100.0,High,AMBIGUOUS,S1:same_state+prefix3,341.0,Saraikela Kharsawan,0.0,327:East Singhbum (100.0%); 341:Saraikela Kharsawan (100.0%)
21,Odisha,250448,Bargarh,Municipality,1,1,351,Deogarh,100.0,High,AMBIGUOUS,S1:same_state+prefix3,347.0,Bargarh,0.0,351:Deogarh (100.0%); 347:Bargarh (100.0%); 371:Sambalpur (100.0%)
21,Odisha,250450,Belpahar,Municipality,1,1,351,Deogarh,100.0,High,AMBIGUOUS,S1:same_state+prefix3,347.0,Bargarh,0.0,351:Deogarh (100.0%); 347:Bargarh (100.0%); 371:Sambalpur (100.0%)
21,Odisha,250458,Sundargarh,Municipality,1,1,373,Sundargarh,100.0,High,AMBIGUOUS,S1:same_state+prefix3,357.0,Jharsuguda,0.0,373:Sundargarh (100.0%); 357:Jharsuguda (100.0%)
21,Odisha,250474,Kendujhar,Municipality,1,1,361,Keonjhar,100.0,High,STRONG MATCH,S1:same_state+prefix3,,,100.0,361:Keonjhar (100.0%)
21,Odisha,250482,Jaleswar,Municipality,1,1,348,Bhadrak,100.0,High,AMBIGUOUS,S1:same_state+prefix3,346.0,Balasore,0.0,348:Bhadrak (100.0%); 346:Balasore (100.0%)
21,Odisha,250486,Baleshwar,Municipality,1,1,348,Bhadrak,100.0,High,AMBIGUOUS,S1:same_state+prefix3,346.0,Balasore,0.0,348:Bhadrak (100.0%); 346:Balasore (100.0%)
21,Odisha,250527,Bellaguntha,Notified Area Council,1,1,353,Gajapati,100.0,High,AMBIGUOUS,S1:same_state+prefix3,354.0,Ganjam,0.0,353:Gajapati (100.0%); 354:Ganjam (100.0%); 370:Rayagada (100.0%)
21,Odisha,250558,Bhawanipatna,Municipality,1,1,358,Kalahandi,100.0,High,AMBIGUOUS,S1:same_state+prefix3,368.0,Nuapada,0.0,358:Kalahandi (100.0%); 368:Nuapada (100.0%)
21,Odisha,250565,Rayagada,Municipality,1,1,370,Rayagada,100.0,High,AMBIGUOUS,S1:same_state+prefix3,353.0,Gajapati,0.0,370:Rayagada (100.0%); 353:Gajapati (100.0%); 363:Koraput (100.0%)
21,Odisha,250569,Nabarangapur,Municipality,1,1,363,Koraput,100.0,High,AMBIGUOUS,S1:same_state+prefix3,364.0,Malkangiri,0.0,363:Koraput (100.0%); 364:Malkangiri (100.0%); 366:Nabarangpur (100.0%)
22,Chhattisgarh,250582,Jhagrakhand,Town Panchayat,1,1,649,Balrampur-Ramanujganj,100.0,High,AMBIGUOUS,S1:same_state+prefix3,760.0,Manendragarh-Chirmiri-Bharatpur(M C B),0.0,649:Balrampur-Ramanujganj (100.0%); 760:Manendragarh-Chirmiri-Bharatpur(M C B) (100.0%); 384:Korea (100.0%)
23,Madhya Pradesh,250809,Dhanpuri,Municipality,1,1,390,Anuppur,100.0,High,AMBIGUOUS,S1:same_state+prefix3,429.0,Shahdol,0.0,390:Anuppur (100.0%); 429:Shahdol (100.0%); 436:Umaria (100.0%)
23,Madhya Pradesh,251023,Chandameta -Butaria,Town Panchayat,1,1,399,Chhindwara,100.0,High,AMBIGUOUS,S1:same_state+prefix3,428.0,Seoni,0.0,399:Chhindwara (100.0%); 428:Seoni (100.0%); 785:Pandhurna (100.0%)
23,Madhya Pradesh,251025,Badkuhi,Town Panchayat,1,1,399,Chhindwara,100.0,High,AMBIGUOUS,S1:same_state+prefix3,428.0,Seoni,0.0,399:Chhindwara (100.0%); 428:Seoni (100.0%); 785:Pandhurna (100.0%)
24,Gujarat,251114,Surendranagar,Municipal Corporations,1,1,457,Rajkot,100.0,High,AMBIGUOUS,S1:same_state+prefix3,460.0,Surendranagar,0.0,457:Rajkot (100.0%); 460:Surendranagar (100.0%); 447:Jamnagar (100.0%)
24,Gujarat,251175,Vallabh Vidyanagar,Municipality,1,1,454,Panch Mahals,100.0,High,AMBIGUOUS,S1:same_state+prefix3,450.0,Kheda,0.0,454:Panch Mahals (100.0%); 450:Kheda (100.0%); 669:Mahisagar (100.0%)
24,Gujarat,251186,Kheda,Municipality,1,1,450,Kheda,100.0,High,AMBIGUOUS,S1:same_state+prefix3,440.0,Anand,0.0,450:Kheda (100.0%); 440:Anand (100.0%)
24,Gujarat,251193,Godhra,Municipality,1,1,454,Panch Mahals,100.0,High,AMBIGUOUS,S1:same_state+prefix3,445.0,Dahod,0.0,454:Panch Mahals (100.0%); 445:Dahod (100.0%); 669:Mahisagar (100.0%)
