localBodyCode,localBodyName,stateCode,stateName,lb_pincodes,total_lb_pincodes,num_candidate_districts,candidate_districts,overlap_percentages,top_districtCode,top_districtName,top_overlap_%,2nd_districtCode,2nd_districtName,2nd_overlap_%,disparity_value,disparity_category,unmatched_pin_count,unmatched_pincodes
248734,Phulera,8,Rajasthan,"[303338, 313325, 328024, 328027]",4,4,98:Dholpur(50.0%) | 102:Jaipur(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 102: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,102.0,Jaipur,25.0,25.0,MODERATE DISPARITY,0,
248735,Bagru,8,Rajasthan,"[303007, 313325, 328024, 328027]",4,4,98:Dholpur(50.0%) | 102:Jaipur(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 102: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,102.0,Jaipur,25.0,25.0,MODERATE DISPARITY,0,
248737,Chaksu,8,Rajasthan,"[303901, 313325, 328024, 328027]",4,4,98:Dholpur(50.0%) | 102:Jaipur(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 102: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,102.0,Jaipur,25.0,25.0,MODERATE DISPARITY,0,
248738,Ramgarh,8,Rajasthan,"[313325, 328024, 328027, 331024]",4,4,98:Dholpur(50.0%) | 112:Rajsamand(25.0%) | 114:Sikar(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 112: 25.0, 114: 25.0, 117: 25.0}",98,Dholpur,50.0,112.0,Rajsamand,25.0,25.0,MODERATE DISPARITY,0,
248739,Fatehpur,8,Rajasthan,"[313325, 328024, 328027, 332301]",4,4,98:Dholpur(50.0%) | 112:Rajsamand(25.0%) | 114:Sikar(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 112: 25.0, 114: 25.0, 117: 25.0}",98,Dholpur,50.0,112.0,Rajsamand,25.0,25.0,MODERATE DISPARITY,0,
248740,Lachhmangarh,8,Rajasthan,"[313325, 332311]",2,3,112:Rajsamand(50.0%) | 114:Sikar(50.0%) | 117:Udaipur(50.0%),"{112: 50.0, 114: 50.0, 117: 50.0}",112,Rajsamand,50.0,114.0,Sikar,50.0,0.0,LOW DISPARITY,0,
258033,Atmakur,28,Andhra Pradesh,"[518442, 524322]",2,2,515:Sri Potti Sriramulu Nellore(50.0%) | 755:Nandyal(50.0%),"{515: 50.0, 755: 50.0}",515,Sri Potti Sriramulu Nellore,50.0,755.0,Nandyal,50.0,0.0,LOW DISPARITY,0,
248742,Losal,8,Rajasthan,"[313325, 332025]",2,3,112:Rajsamand(50.0%) | 114:Sikar(50.0%) | 117:Udaipur(50.0%),"{112: 50.0, 114: 50.0, 117: 50.0}",112,Rajsamand,50.0,114.0,Sikar,50.0,0.0,LOW DISPARITY,0,
248745,Reengus,8,Rajasthan,"[313325, 328024, 328027, 332404]",4,4,98:Dholpur(50.0%) | 112:Rajsamand(25.0%) | 114:Sikar(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 112: 25.0, 114: 25.0, 117: 25.0}",98,Dholpur,50.0,112.0,Rajsamand,25.0,25.0,MODERATE DISPARITY,0,
272909,Wadakkanchery,32,Kerala,"[680581, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 566:Thrissur(25.0%),"{555: 50.0, 566: 25.0}",555,Ernakulam,50.0,566.0,Thrissur,25.0,25.0,MODERATE DISPARITY,1,[683104]
272910,Mananthavady,32,Kerala,"[670645, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 567:Wayanad(25.0%),"{555: 50.0, 567: 25.0}",555,Ernakulam,50.0,567.0,Wayanad,25.0,25.0,MODERATE DISPARITY,1,[683104]
272911,Sulthanbathery,32,Kerala,"[673592, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 567:Wayanad(25.0%),"{555: 50.0, 567: 25.0}",555,Ernakulam,50.0,567.0,Wayanad,25.0,25.0,MODERATE DISPARITY,1,[683104]
272912,Parappanangadi,32,Kerala,"[676303, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 562:Malappuram(25.0%),"{555: 50.0, 562: 25.0}",555,Ernakulam,50.0,562.0,Malappuram,25.0,25.0,MODERATE DISPARITY,1,[683104]
