stateCode,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
21,250458,Sundargarh,Municipality,,,NO MATCH
21,250459,Rajagangapur,Municipality,373,Sundargarh,FULL MATCH
21,250462,Biramitrapur,Municipality,373,Sundargarh,FULL MATCH
21,250467,Raurkela,Municipal Corporations,373,Sundargarh,AMBIGUOUS MATCH
21,250469,Barbil,Municipality,361,Keonjhar,FULL MATCH
21,250471,Joda,Municipality,361,Keonjhar,FULL MATCH
21,250474,Kendujhar,Municipality,,,NO MATCH
21,250476,Anandapur,Municipality,361,Keonjhar,FULL MATCH
21,250478,Rairangpur,Municipality,365,Mayurbhanj,FULL MATCH
21,250479,Udala,Notified Area Council,365,Mayurbhanj,FULL MATCH
21,250480,Karanjia,Notified Area Council,365,Mayurbhanj,FULL MATCH
21,250481,Baripada,Municipality,365,Mayurbhanj,FULL MATCH
21,250482,Jaleswar,Municipality,,,NO MATCH
21,250484,Nilagiri,Notified Area Council,346,Balasore,FULL MATCH
21,250485,Soro,Municipality,346,Balasore,FULL MATCH
21,250486,Baleshwar,Municipality,,,NO MATCH
21,250487,Bhadrak,Municipality,348,Bhadrak,FULL MATCH
21,250489,Basudebpur,Municipality,348,Bhadrak,FULL MATCH
21,250490,Pattamundai,Municipality,360,Kendrapara,FULL MATCH
21,250491,Kendrapara,Municipality,360,Kendrapara,FULL MATCH
21,250494,Choudwar,Municipality,350,Cuttack,FULL MATCH
21,250498,Athagad,Notified Area Council,350,Cuttack,FULL MATCH
21,250500,Banki,Notified Area Council,350,Cuttack,FULL MATCH
21,250501,Cuttack,Municipal Corporations,350,Cuttack,AMBIGUOUS MATCH
21,250502,Vyasanagar,Municipality,356,Jajpur,FULL MATCH
21,250503,Jajapur,Municipality,356,Jajpur,FULL MATCH
21,250510,Khandapada,Notified Area Council,367,Nayagarh,FULL MATCH
21,250512,Nayagarh,Municipality,367,Nayagarh,FULL MATCH
21,250514,Khordha,Municipality,362,Khordha,FULL MATCH
21,250516,Jatani,Municipality,362,Khordha,FULL MATCH
21,250517,Balugaon,Notified Area Council,362,Khordha,FULL MATCH
21,250519,Banapur,Notified Area Council,362,Khordha,FULL MATCH
21,250520,Bhubaneswar,Municipal Corporations,"362, 369",Khordha | Puri,AMBIGUOUS MATCH
21,250521,Pipili,Notified Area Council,369,Puri,FULL MATCH
21,250522,Nimapada,Notified Area Council,369,Puri,FULL MATCH
21,250523,Konark,Notified Area Council,369,Puri,FULL MATCH
21,250524,Puri,Municipality,369,Puri,AMBIGUOUS MATCH
21,250525,Buguda,Notified Area Council,354,Ganjam,FULL MATCH
21,250526,Bhanjanagar,Notified Area Council,354,Ganjam,FULL MATCH
21,250527,Bellaguntha,Notified Area Council,,,NO MATCH
21,250528,Surada,Notified Area Council,354,Ganjam,FULL MATCH
21,250529,Asika,Notified Area Council,354,Ganjam,FULL MATCH
21,250531,Purusottampur,Notified Area Council,354,Ganjam,FULL MATCH
21,250532,Kavisurjyanagar,Notified Area Council,354,Ganjam,FULL MATCH
21,250533,Polasara,Notified Area Council,354,Ganjam,FULL MATCH
21,250534,Kodala,Notified Area Council,354,Ganjam,FULL MATCH
21,250535,Khalikote,Notified Area Council,354,Ganjam,FULL MATCH
21,250536,Rambha,Notified Area Council,354,Ganjam,FULL MATCH
21,250537,Chhatrapur,Notified Area Council,354,Ganjam,AMBIGUOUS MATCH
21,250538,Ganjam,Notified Area Council,354,Ganjam,FULL MATCH
21,250539,Gopalpur,Notified Area Council,354,Ganjam,FULL MATCH
21,250540,Chikiti,Notified Area Council,354,Ganjam,FULL MATCH
21,250541,Digapahandi,Notified Area Council,354,Ganjam,FULL MATCH
21,250542,Hinjilicut,Municipality,354,Ganjam,FULL MATCH
21,250543,Berhampur,Municipal Corporations,354,Ganjam,AMBIGUOUS MATCH
21,250544,Paralakhemundi,Municipality,353,Gajapati,FULL MATCH
21,250545,Kasinagar,Notified Area Council,"353, 354",Gajapati | Ganjam,FULL MATCH
21,250546,Phulabani,Municipality,359,Kandhamal,FULL MATCH
21,250547,G. Udayagiri,Notified Area Council,359,Kandhamal,FULL MATCH
21,250548,Boudhgarh,Notified Area Council,349,Boudh,FULL MATCH
21,250549,Tarbha,Notified Area Council,372,Sonepur,FULL MATCH
21,250550,Sonapur,Municipality,372,Sonepur,FULL MATCH
21,250551,Binika,Notified Area Council,372,Sonepur,FULL MATCH
21,250552,Kantabanji,Notified Area Council,345,Balangir,FULL MATCH
21,250553,Titlagarh,Municipality,345,Balangir,FULL MATCH
21,250554,Patnagarh,Notified Area Council,345,Balangir,FULL MATCH
21,250555,Balangir,Municipality,345,Balangir,AMBIGUOUS MATCH
21,250556,Khariar Road,Notified Area Council,368,Nuapada,FULL MATCH
21,250557,Khariar,Notified Area Council,368,Nuapada,FULL MATCH
21,250558,Bhawanipatna,Municipality,,,NO MATCH
21,250559,Kesinga,Notified Area Council,358,Kalahandi,FULL MATCH
21,250560,Junagarh,Notified Area Council,358,Kalahandi,FULL MATCH
21,250563,Gudari,Notified Area Council,370,Rayagada,FULL MATCH
21,250564,Gunupur,Municipality,370,Rayagada,FULL MATCH
21,250565,Rayagada,Municipality,,,NO MATCH
21,250567,Umarkote,Municipality,366,Nabarangpur,FULL MATCH
21,250569,Nabarangapur,Municipality,,,NO MATCH
21,250570,Kotpad,Notified Area Council,363,Koraput,FULL MATCH
21,250571,Koraput,Municipality,363,Koraput,FULL MATCH
21,250573,Sunabeda,Municipality,363,Koraput,FULL MATCH
21,250574,Jeypur,Municipality,363,Koraput,AMBIGUOUS MATCH
21,250576,Balimela,Notified Area Council,364,Malkangiri,FULL MATCH
22,250578,Chirimiri,Municipal Corporations,"384, 760",Korea | Manendragarh-Chirmiri-Bharatpur(M C B),FULL MATCH
22,250579,Baikunthpur,Municipality,"384, 760",Korea | Manendragarh-Chirmiri-Bharatpur(M C B),FULL MATCH
22,250580,Manendragarh,Municipality,760,Manendragarh-Chirmiri-Bharatpur(M C B),FULL MATCH
22,250581,Khongapani,Town Panchayat,760,Manendragarh-Chirmiri-Bharatpur(M C B),FULL MATCH
22,250582,Jhagrakhand,Town Panchayat,,,NO MATCH
22,250583,Ramanujganj,Municipality,649,Balrampur-Ramanujganj,FULL MATCH
22,250585,Surajpur,Municipality,648,Surajpur,FULL MATCH
22,250586,Vishrampur,Town Panchayat,648,Surajpur,FULL MATCH
22,250588,Ambikapur,Municipal Corporations,389,Surguja,FULL MATCH
22,250590,Jashpur Nagar,Municipality,380,Jashpur,FULL MATCH
22,250591,Pathalgaon,Municipality,"380, 386",Jashpur | Raigarh,FULL MATCH
22,250592,Dharamjaigarh,Town Panchayat,386,Raigarh,FULL MATCH
22,250593,Gharghoda,Town Panchayat,386,Raigarh,FULL MATCH
22,250594,Raigarh,Municipal Corporations,386,Raigarh,FULL MATCH
22,250595,Kharsia,Municipality,386,Raigarh,FULL MATCH
22,250596,Sarangarh,Municipality,763,Sarangarh-Bilaigarh,FULL MATCH
22,250597,Katghora,Municipality,383,Korba,FULL MATCH
22,250598,Korba,Municipal Corporations,383,Korba,FULL MATCH
22,250599,Dipka,Municipality,383,Korba,FULL MATCH
22,250601,Baloda,Town Panchayat,"375, 379",Bilaspur | Janjgir-Champa,FULL MATCH
22,250602,Naila Janjgir,Municipality,"375, 379",Bilaspur | Janjgir-Champa,FULL MATCH
22,250603,Akaltara,Municipality,379,Janjgir-Champa,FULL MATCH
22,250604,Shivrinarayan,Town Panchayat,379,Janjgir-Champa,FULL MATCH
22,250605,Champa,Municipality,"379, 383",Janjgir-Champa | Korba,FULL MATCH
22,250606,Sakti,Municipality,762,Sakti,FULL MATCH
22,250607,Naya Baradwar,Town Panchayat,"379, 762",Janjgir-Champa | Sakti,FULL MATCH
22,250608,Kharod,Town Panchayat,379,Janjgir-Champa,FULL MATCH
22,250609,Pendra,Municipality,734,Gaurela-Pendra-Marwahi,FULL MATCH
22,250610,Gaurella,Municipality,734,Gaurela-Pendra-Marwahi,FULL MATCH
22,250611,Lormi,Municipality,"375, 647",Bilaspur | Mungeli,FULL MATCH
22,250612,Ratanpur,Municipality,"375, 647",Bilaspur | Mungeli,FULL MATCH
22,250613,Kota,Town Panchayat,"375, 647",Bilaspur | Mungeli,FULL MATCH
22,250614,Mungeli,Municipality,647,Mungeli,FULL MATCH
22,250615,Takhatpur,Municipality,"375, 647",Bilaspur | Mungeli,FULL MATCH
