localBodyCode,status,matched_district(s)
248368,FULL MATCH,28
248369,FULL MATCH,28
248370,FULL MATCH,"28, 37"
248371,FULL MATCH,"28, 37"
248372,FULL MATCH,37
248373,FULL MATCH,37
248374,FULL MATCH,37
248375,FULL MATCH,"28, 37"
248376,FULL MATCH,"28, 37"
248377,FULL MATCH,605
248378,FULL MATCH,605
248379,FULL MATCH,605
248380,FULL MATCH,605
248381,FULL MATCH,605
248382,FULL MATCH,737
248383,FULL MATCH,"43, 737"
248384,FULL MATCH,"43, 605"
248385,FULL MATCH,"43, 605"
248386,FULL MATCH,43
248387,FULL MATCH,43
248388,FULL MATCH,43
248389,FULL MATCH,43
248390,FULL MATCH,43
248391,FULL MATCH,43
248392,FULL MATCH,43
248393,FULL MATCH,43
248394,FULL MATCH,41
248395,FULL MATCH,41
248396,FULL MATCH,41
248397,FULL MATCH,41
248398,FULL MATCH,41
248399,FULL MATCH,41
248402,FULL MATCH,"30, 41, 608"
248403,FULL MATCH,"41, 608"
248404,FULL MATCH,"41, 608"
248405,FULL MATCH,608
248407,FULL MATCH,608
248409,FULL MATCH,57
248410,FULL MATCH,57
248411,FULL MATCH,57
248412,FULL MATCH,47
248413,FULL MATCH,47
248414,FULL MATCH,47
248415,FULL MATCH,47
248416,FULL MATCH,"47, 54"
248417,FULL MATCH,47
248418,FULL MATCH,54
248419,FULL MATCH,"47, 54"
248420,FULL MATCH,55
248421,FULL MATCH,"52, 55"
248422,FULL MATCH,"53, 55"
248423,FULL MATCH,55
248424,FULL MATCH,55
248426,FULL MATCH,55
248427,AMBIGUOUS MATCH,49
248428,AMBIGUOUS MATCH,49
248429,FULL MATCH,49
248430,FULL MATCH,49
248433,FULL MATCH,49
248434,NO MATCH,
248437,FULL MATCH,52
248438,FULL MATCH,52
248440,FULL MATCH,52
248441,FULL MATCH,52
248444,FULL MATCH,53
248445,FULL MATCH,53
248446,FULL MATCH,53
248447,FULL MATCH,46
248448,FULL MATCH,45
248449,FULL MATCH,"45, 46"
248450,FULL MATCH,48
248451,FULL MATCH,"48, 53"
248452,FULL MATCH,"48, 51"
248454,FULL MATCH,51
248455,FULL MATCH,51
248456,FULL MATCH,51
248457,FULL MATCH,"45, 51, 56"
248458,FULL MATCH,51
248459,FULL MATCH,51
248460,FULL MATCH,51
248461,FULL MATCH,56
248462,FULL MATCH,56
248463,FULL MATCH,56
248465,FULL MATCH,56
248466,FULL MATCH,56
248467,FULL MATCH,"51, 56"
248468,FULL MATCH,56
248469,FULL MATCH,56
248470,FULL MATCH,56
248471,FULL MATCH,56
248474,FULL MATCH,56
248475,FULL MATCH,56
248476,FULL MATCH,56
248477,FULL MATCH,56
248478,FULL MATCH,50
248481,FULL MATCH,50
248482,FULL MATCH,50
248483,NO MATCH,
248485,FULL MATCH,50
248486,FULL MATCH,50
248487,FULL MATCH,70
248489,FULL MATCH,70
248490,FULL MATCH,58
248491,FULL MATCH,58
248500,FULL MATCH,76
248506,FULL MATCH,68
248507,FULL MATCH,68
248508,FULL MATCH,68
248509,FULL MATCH,68
248510,FULL MATCH,66
248511,FULL MATCH,66
248512,FULL MATCH,66
248513,FULL MATCH,66
248514,FULL MATCH,67
248515,FULL MATCH,67
248516,FULL MATCH,67
248517,FULL MATCH,67
248519,FULL MATCH,67
248520,FULL MATCH,67
248521,NO MATCH,
248526,FULL MATCH,71
248527,FULL MATCH,75
248528,FULL MATCH,75
248529,FULL MATCH,75
248530,FULL MATCH,75
248531,FULL MATCH,65
248532,FULL MATCH,65
248533,FULL MATCH,65
248534,FULL MATCH,65
248535,FULL MATCH,65
248536,FULL MATCH,61
248537,FULL MATCH,61
248538,FULL MATCH,"61, 63, 74"
248539,FULL MATCH,74
248540,FULL MATCH,74
248541,FULL MATCH,74
248542,FULL MATCH,74
248543,FULL MATCH,74
248544,FULL MATCH,"61, 63"
248545,AMBIGUOUS MATCH,"63, 70, 792"
248546,FULL MATCH,63
248547,FULL MATCH,"63, 792"
248548,FULL MATCH,"63, 792"
248549,FULL MATCH,59
248550,FULL MATCH,59
248552,FULL MATCH,59
248553,FULL MATCH,"59, 701"
248554,FULL MATCH,59
248555,FULL MATCH,73
248556,FULL MATCH,73
248557,FULL MATCH,73
248558,FULL MATCH,"64, 73"
248560,FULL MATCH,64
248562,FULL MATCH,64
248563,FULL MATCH,69
248564,FULL MATCH,69
248565,FULL MATCH,69
248566,FULL MATCH,69
248568,FULL MATCH,72
248569,FULL MATCH,72
248571,FULL MATCH,72
248573,FULL MATCH,62
248574,FULL MATCH,62
248576,FULL MATCH,62
248579,FULL MATCH,"62, 604"
248580,FULL MATCH,"62, 72, 604"
248581,FULL MATCH,604
248582,FULL MATCH,604
248583,FULL MATCH,604
248585,FULL MATCH,60
248586,FULL MATCH,"60, 619"
248587,FULL MATCH,619
248589,FULL MATCH,619
248649,AMBIGUOUS MATCH,"98, 100, 112, 117"
248650,AMBIGUOUS MATCH,"98, 100, 101, 112, 117"
248651,AMBIGUOUS MATCH,"100, 112, 117, 774"
248652,AMBIGUOUS MATCH,"98, 100, 101, 112, 117"
248653,AMBIGUOUS MATCH,"98, 100, 112, 117"
248654,AMBIGUOUS MATCH,"98, 100, 112, 117"
248655,AMBIGUOUS MATCH,"98, 100, 101, 112, 117"
248656,AMBIGUOUS MATCH,"98, 100, 112, 117"
248658,AMBIGUOUS MATCH,"98, 100, 101, 112, 117"
248660,AMBIGUOUS MATCH,"98, 100, 101, 112, 117"
248661,AMBIGUOUS MATCH,"98, 100, 101, 107, 112, 117"
248662,AMBIGUOUS MATCH,"100, 101, 112, 117, 774"
248663,AMBIGUOUS MATCH,"98, 100, 101, 112, 117"
248664,AMBIGUOUS MATCH,"100, 101, 112, 117"
248665,AMBIGUOUS MATCH,"100, 101, 112, 117"
248666,AMBIGUOUS MATCH,"101, 112, 117"
248667,FULL MATCH,93
248668,AMBIGUOUS MATCH,"93, 98, 112, 117"
248669,AMBIGUOUS MATCH,"93, 98, 112, 117"
248670,AMBIGUOUS MATCH,"96, 98, 112, 117"
248671,AMBIGUOUS MATCH,"87, 112, 117"
248672,AMBIGUOUS MATCH,"96, 98, 112, 117"
248673,AMBIGUOUS MATCH,"96, 112, 117, 774"
248674,AMBIGUOUS MATCH,"96, 98, 112, 117"
248675,AMBIGUOUS MATCH,"93, 98, 112, 117"
248676,AMBIGUOUS MATCH,"96, 112, 117"
248677,AMBIGUOUS MATCH,"96, 98, 112, 117"
248678,AMBIGUOUS MATCH,"96, 112, 117"
248679,AMBIGUOUS MATCH,"96, 98, 112, 117"
248680,AMBIGUOUS MATCH,"96, 112, 117, 774"
248681,AMBIGUOUS MATCH,"98, 106, 112, 117"
248682,AMBIGUOUS MATCH,"98, 106, 112, 117"
248683,AMBIGUOUS MATCH,"106, 112, 117, 774"
248684,AMBIGUOUS MATCH,"98, 106, 112, 117"
248685,AMBIGUOUS MATCH,"98, 106, 112, 117"
248686,AMBIGUOUS MATCH,"98, 112, 117, 777"
248687,AMBIGUOUS MATCH,"98, 106, 112, 117"
248688,AMBIGUOUS MATCH,"98, 106, 112, 117"
248690,AMBIGUOUS MATCH,"106, 112, 117"
248691,AMBIGUOUS MATCH,"98, 106, 112, 117"
248692,AMBIGUOUS MATCH,"98, 106, 112, 117"
248693,AMBIGUOUS MATCH,"98, 106, 112, 117"
248694,AMBIGUOUS MATCH,"98, 112, 117, 782"
248695,AMBIGUOUS MATCH,"112, 117, 770, 774"
248696,AMBIGUOUS MATCH,"98, 112, 117, 770"
248698,AMBIGUOUS MATCH,"112, 117, 770"
248699,AMBIGUOUS MATCH,"87, 112, 117, 774, 782"
248700,AMBIGUOUS MATCH,"96, 98, 112, 117"
248702,AMBIGUOUS MATCH,"87, 112, 117"
248703,AMBIGUOUS MATCH,"98, 112, 117, 767"
248704,AMBIGUOUS MATCH,"98, 112, 117, 767"
248705,AMBIGUOUS MATCH,"91, 112, 117, 767, 774"
248706,AMBIGUOUS MATCH,"91, 112, 117, 767"
248707,AMBIGUOUS MATCH,"98, 112, 117, 767"
248708,FULL MATCH,"91, 767"
248709,AMBIGUOUS MATCH,"91, 98, 112, 117"
248710,AMBIGUOUS MATCH,"91, 98, 112, 117"
248711,AMBIGUOUS MATCH,"91, 98, 112, 117"
248712,AMBIGUOUS MATCH,"98, 112, 117"
248713,AMBIGUOUS MATCH,"98, 112, 117, 774"
248714,AMBIGUOUS MATCH,"98, 112, 117"
248715,AMBIGUOUS MATCH,"108, 112, 117"
248716,AMBIGUOUS MATCH,"108, 112, 117, 774"
248717,AMBIGUOUS MATCH,"108, 112, 117, 774"
248718,AMBIGUOUS MATCH,"112, 113, 117, 774"
248720,AMBIGUOUS MATCH,"112, 113, 117, 774"
248722,AMBIGUOUS MATCH,"97, 112, 117"
248725,AMBIGUOUS MATCH,"97, 102, 112, 117, 774"
248726,AMBIGUOUS MATCH,"97, 112, 117"
248727,AMBIGUOUS MATCH,"112, 117, 774, 782"
248728,AMBIGUOUS MATCH,"98, 112, 117, 782"
248729,AMBIGUOUS MATCH,"102, 112, 117, 782"
248730,AMBIGUOUS MATCH,"98, 102, 112, 117"
248731,AMBIGUOUS MATCH,"98, 102, 112, 117"
248732,AMBIGUOUS MATCH,"98, 102, 112, 117"
248733,AMBIGUOUS MATCH,"98, 102, 112, 117"
248734,AMBIGUOUS MATCH,"98, 102, 112, 117"
248735,AMBIGUOUS MATCH,"98, 102, 112, 117"
248736,AMBIGUOUS MATCH,102
248737,AMBIGUOUS MATCH,"98, 102, 112, 117"
248738,AMBIGUOUS MATCH,"98, 112, 114, 117"
248739,AMBIGUOUS MATCH,"98, 112, 114, 117"
248740,AMBIGUOUS MATCH,"112, 114, 117"
248741,AMBIGUOUS MATCH,"112, 114, 117, 774"
248742,AMBIGUOUS MATCH,"112, 114, 117"
248743,AMBIGUOUS MATCH,"112, 114, 117"
248744,AMBIGUOUS MATCH,"112, 114, 117"
248745,AMBIGUOUS MATCH,"98, 112, 114, 117"
248746,AMBIGUOUS MATCH,"112, 114, 117"
248747,AMBIGUOUS MATCH,"98, 112, 117, 768"
248748,AMBIGUOUS MATCH,"97, 98, 112, 117, 768"
248749,AMBIGUOUS MATCH,"110, 112, 117, 768, 774"
248751,AMBIGUOUS MATCH,"98, 110, 112, 117"
248752,AMBIGUOUS MATCH,"98, 110, 112, 117"
248753,AMBIGUOUS MATCH,"98, 110, 112, 117"
248755,AMBIGUOUS MATCH,"98, 110, 112, 117, 768"
248756,AMBIGUOUS MATCH,"112, 117, 768, 774"
248757,AMBIGUOUS MATCH,"98, 112, 117, 768"
248758,AMBIGUOUS MATCH,"98, 112, 117, 768"
248759,AMBIGUOUS MATCH,"98, 103, 112, 117, 772"
248760,AMBIGUOUS MATCH,107
248761,AMBIGUOUS MATCH,"98, 107, 112, 117"
248762,AMBIGUOUS MATCH,"98, 107, 112, 117"
248763,AMBIGUOUS MATCH,"103, 112, 117, 772, 774"
248764,AMBIGUOUS MATCH,"98, 103, 112, 117, 772"
248765,AMBIGUOUS MATCH,"112, 117, 774, 775"
248766,AMBIGUOUS MATCH,"90, 112, 117, 774"
248767,AMBIGUOUS MATCH,"104, 112, 117, 774"
248768,AMBIGUOUS MATCH,"98, 104, 112, 117"
248769,AMBIGUOUS MATCH,"98, 104, 112, 117"
248770,AMBIGUOUS MATCH,"98, 112, 115, 117"
248771,AMBIGUOUS MATCH,"112, 115, 117, 774"
248773,AMBIGUOUS MATCH,"98, 112, 115, 117"
248774,AMBIGUOUS MATCH,"98, 112, 115, 117"
248775,AMBIGUOUS MATCH,"98, 112, 117, 774"
248776,AMBIGUOUS MATCH,"98, 111, 112, 117"
248778,AMBIGUOUS MATCH,"111, 112, 117, 774"
248780,AMBIGUOUS MATCH,"98, 111, 112, 117"
248781,AMBIGUOUS MATCH,"98, 111, 112, 117"
248782,AMBIGUOUS MATCH,"98, 111, 112, 117"
248783,AMBIGUOUS MATCH,"111, 112, 117"
248784,AMBIGUOUS MATCH,"98, 111, 112, 117"
248785,AMBIGUOUS MATCH,"98, 111, 112, 117"
248786,AMBIGUOUS MATCH,"86, 112, 117, 774"
248787,AMBIGUOUS MATCH,"86, 112, 117"
248788,AMBIGUOUS MATCH,86
248790,AMBIGUOUS MATCH,"112, 117, 774"
248791,AMBIGUOUS MATCH,"86, 112, 117, 774"
248792,AMBIGUOUS MATCH,"86, 98, 112, 117"
248793,AMBIGUOUS MATCH,"86, 98, 112, 117"
248794,AMBIGUOUS MATCH,"112, 116, 117"
248796,AMBIGUOUS MATCH,"98, 112, 116, 117"
248797,AMBIGUOUS MATCH,"112, 116, 117, 774"
248798,AMBIGUOUS MATCH,"98, 112, 116, 117"
248799,AMBIGUOUS MATCH,"112, 116, 117"
248800,AMBIGUOUS MATCH,"94, 98, 112, 116, 117"
248801,AMBIGUOUS MATCH,"94, 98, 112, 117"
248802,AMBIGUOUS MATCH,"94, 98, 112, 117"
248803,AMBIGUOUS MATCH,"94, 98, 112, 117"
248804,AMBIGUOUS MATCH,"94, 98, 112, 117"
248805,AMBIGUOUS MATCH,"94, 98, 112, 117"
248806,AMBIGUOUS MATCH,"94, 112, 117, 774"
248808,AMBIGUOUS MATCH,"92, 98, 112, 117, 774"
248809,AMBIGUOUS MATCH,"92, 98, 112, 117"
248811,AMBIGUOUS MATCH,"92, 98, 112, 117"
248812,AMBIGUOUS MATCH,"92, 112, 117, 774"
248813,AMBIGUOUS MATCH,"92, 98, 112, 117"
248814,AMBIGUOUS MATCH,"92, 98, 112, 117"
248816,AMBIGUOUS MATCH,"98, 112, 117, 774"
248817,AMBIGUOUS MATCH,"98, 112, 117"
248818,AMBIGUOUS MATCH,"112, 117, 774"
248820,AMBIGUOUS MATCH,"98, 112, 117"
248821,AMBIGUOUS MATCH,"98, 109, 112, 117"
248822,AMBIGUOUS MATCH,"109, 112, 117, 774, 777"
248823,AMBIGUOUS MATCH,"98, 112, 117, 777"
248824,AMBIGUOUS MATCH,"98, 112, 117, 777"
248826,FULL MATCH,117
248831,AMBIGUOUS MATCH,"99, 112, 117, 774"
248832,AMBIGUOUS MATCH,"98, 99, 112, 117"
248835,AMBIGUOUS MATCH,"88, 112, 117, 774"
248836,AMBIGUOUS MATCH,"88, 98, 112, 117"
248837,AMBIGUOUS MATCH,"95, 98, 112, 117"
248838,AMBIGUOUS MATCH,"95, 112, 117"
248839,AMBIGUOUS MATCH,"95, 112, 117, 774"
248840,AMBIGUOUS MATCH,"95, 98, 112, 117"
248841,AMBIGUOUS MATCH,"95, 98, 112, 117"
248842,AMBIGUOUS MATCH,"98, 112, 117, 629"
248843,AMBIGUOUS MATCH,"95, 98, 112, 117, 629"
248844,AMBIGUOUS MATCH,"87, 112, 117, 629, 774"
248845,FULL MATCH,109
248847,AMBIGUOUS MATCH,"98, 109, 112, 117"
248851,AMBIGUOUS MATCH,"98, 109, 112, 117"
248855,AMBIGUOUS MATCH,"98, 109, 112, 117"
248856,AMBIGUOUS MATCH,"89, 98, 112, 117"
248857,AMBIGUOUS MATCH,"89, 98, 109, 112, 117"
248858,AMBIGUOUS MATCH,"89, 109, 112, 117, 774"
248860,AMBIGUOUS MATCH,"89, 98, 112, 117"
248862,AMBIGUOUS MATCH,"105, 112, 117, 774"
248863,AMBIGUOUS MATCH,"105, 112, 117"
248865,AMBIGUOUS MATCH,"98, 105, 112, 117"
248867,AMBIGUOUS MATCH,"98, 105, 112, 117"
248868,AMBIGUOUS MATCH,"98, 105, 112, 117"
248870,FULL MATCH,177
248873,FULL MATCH,177
248874,FULL MATCH,177
248875,FULL MATCH,177
248876,FULL MATCH,177
248877,FULL MATCH,177
248878,FULL MATCH,177
248879,FULL MATCH,177
248880,FULL MATCH,177
248881,FULL MATCH,177
248882,FULL MATCH,177
248883,FULL MATCH,660
248884,FULL MATCH,660
248885,FULL MATCH,"172, 660"
248886,FULL MATCH,"172, 660"
248887,FULL MATCH,"172, 660"
248888,FULL MATCH,"172, 660"
248889,FULL MATCH,"172, 660"
248890,FULL MATCH,"172, 660"
248891,FULL MATCH,660
248892,FULL MATCH,"50, 132"
248893,FULL MATCH,172
248894,FULL MATCH,172
248895,FULL MATCH,172
248896,FULL MATCH,"172, 660"
248897,FULL MATCH,172
248898,FULL MATCH,172
248899,FULL MATCH,172
248901,FULL MATCH,"172, 660"
248902,FULL MATCH,172
248903,FULL MATCH,"172, 660"
248904,FULL MATCH,132
248905,FULL MATCH,"50, 132"
248907,FULL MATCH,"172, 660"
248908,FULL MATCH,132
248909,FULL MATCH,132
248910,FULL MATCH,132
248913,FULL MATCH,132
248914,FULL MATCH,132
248915,FULL MATCH,132
248916,FULL MATCH,132
248917,FULL MATCH,132
248918,FULL MATCH,132
248919,FULL MATCH,132
248920,FULL MATCH,132
248921,FULL MATCH,132
248922,FULL MATCH,132
248923,FULL MATCH,132
248924,FULL MATCH,132
248925,FULL MATCH,171
248926,FULL MATCH,"154, 171"
248927,FULL MATCH,"154, 171"
248928,FULL MATCH,171
248929,FULL MATCH,"154, 171"
248930,FULL MATCH,171
248931,FULL MATCH,"171, 659"
248933,FULL MATCH,"171, 659"
248934,FULL MATCH,659
248935,FULL MATCH,659
248936,FULL MATCH,"171, 659"
248937,FULL MATCH,659
248938,FULL MATCH,176
248939,FULL MATCH,176
248940,FULL MATCH,121
248941,FULL MATCH,176
248942,NO MATCH,
248943,FULL MATCH,176
248944,FULL MATCH,176
248945,FULL MATCH,176
248946,FULL MATCH,154
248947,FULL MATCH,154
248949,FULL MATCH,154
248950,FULL MATCH,"154, 176"
248951,FULL MATCH,"154, 659"
248952,FULL MATCH,154
248953,FULL MATCH,"154, 659"
248954,FULL MATCH,169
248955,FULL MATCH,169
248956,FULL MATCH,169
248957,FULL MATCH,169
248958,FULL MATCH,169
248959,FULL MATCH,169
248960,FULL MATCH,169
248961,FULL MATCH,169
248962,FULL MATCH,169
248963,FULL MATCH,169
248964,FULL MATCH,169
248967,FULL MATCH,169
248968,FULL MATCH,169
248969,FULL MATCH,124
248970,FULL MATCH,124
248971,FULL MATCH,124
248972,FULL MATCH,124
248973,FULL MATCH,124
248974,FULL MATCH,124
248975,FULL MATCH,124
248977,FULL MATCH,145
248978,FULL MATCH,145
248981,FULL MATCH,145
248982,FULL MATCH,145
248983,FULL MATCH,"145, 661"
248985,FULL MATCH,145
248988,FULL MATCH,145
248989,FULL MATCH,"145, 661"
248990,FULL MATCH,"145, 661"
248991,FULL MATCH,661
248992,FULL MATCH,"145, 661"
248993,FULL MATCH,661
248996,FULL MATCH,144
248997,FULL MATCH,176
248998,FULL MATCH,144
248999,FULL MATCH,"134, 144"
249000,FULL MATCH,144
249001,FULL MATCH,"134, 144"
249002,FULL MATCH,144
249003,FULL MATCH,"134, 144"
249004,FULL MATCH,"138, 633"
249005,FULL MATCH,134
249006,FULL MATCH,"134, 144"
249007,FULL MATCH,134
249008,FULL MATCH,134
249009,FULL MATCH,134
249010,FULL MATCH,134
249011,FULL MATCH,134
249012,FULL MATCH,134
249013,FULL MATCH,134
249014,FULL MATCH,134
249015,FULL MATCH,134
249016,FULL MATCH,"134, 144"
249017,FULL MATCH,134
249018,FULL MATCH,134
249019,FULL MATCH,119
249020,FULL MATCH,119
249022,FULL MATCH,119
249023,FULL MATCH,119
249024,FULL MATCH,"119, 163"
249025,FULL MATCH,119
249026,FULL MATCH,119
